,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,Sample61,Sample62,Sample63,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample70,Sample71,Sample72,Sample73,Sample74,Sample75,Sample76,Sample77,Sample78,Sample79,Sample80,Sample81,Sample82,Sample83,Sample84,Sample85
Actr3,4.410045053,0,0,1.003410498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40805589,0,0,4.074097525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86402966,0,0,0,0,6.144414386,5.4720333,0,5.471979567,0,0,0,4.710121732,1.494157207,0,1.722795261,4.394146563,0,0,4.385392943,5.361076381,4.164604306,1.201503494,1.446926889,1.71257727,4.154148318,1.385019088,6.319290387,1.3945658,0,4.912072417,1.338687265,0,0,1.324239146,0,0,0,1.148503793,0,0,0,0,5.58694033
Actr3,3.182839959,3.097131702,3.269906395,2.716125385,3.31034095,3.234357564,3.277373843,3.129451876,3.054496308,3.269027048,3.11706888,3.153032408,2.959924935,2.994292838,3.233500107,3.289596044,3.164682279,3.285065104,3.257076006,3.450930457,3.209372174,3.290317916,2.975098702,3.326241098,2.973926604,2.984065258,3.224423869,3.006776634,3.280814197,3.11476471,2.857327469,3.211804552,3.020009018,3.176953471,3.267755075,2.994690195,3.186919777,3.136437752,3.256553856,2.840502217,3.145718151,3.254645125,3.279267912,3.295872887,3.22294233,3.149622452,3.013234145,3.405952387,3.293071332,3.405900218,3.192738723,3.192738723,3.073528832,2.974752981,3.045624476,3.293196478,3.159975797,3.199403341,3.20431054,3.278622042,3.049033902,3.031641843,3.088572505,2.944227306,3.163607905,3.031615829,3.212141065,3.133968051,3.266750994,3.18135401,2.993855229,3.113110139,3.326471017,3.421004168,3.120924041,3.006020057,3.213665659,2.951184452,3.037872687,3.07286881,3.175945979,3.265963088,3.135888774,3.181747388,3.28110488
Actr3,4.193840324,4.172801803,4.157838988,4.279891531,4.288960734,4.273386447,4.375565344,4.257841506,4.327156117,4.339519041,4.357541776,4.117726775,4.120928612,4.234588871,4.321692766,4.314165495,4.305146036,4.368667676,4.296530709,4.206007148,4.259706516,4.317311184,4.077314539,3.994705927,4.20210266,4.129114547,4.328127911,4.114472445,4.157240533,4.138628813,4.079852157,4.262303408,4.095586594,4.316567688,4.204917505,4.431802201,4.281797615,4.401097959,4.29494184,4.237735792,4.392940985,4.303723082,4.165462565,4.421669216,4.149642802,4.197378619,4.296221493,4.239533245,4.218772639,4.239480063,4.337394348,4.337394348,4.080858792,4.21583408,4.178500191,4.19951592,4.271906827,4.273673828,4.20429116,4.157713617,4.226445544,4.255528766,4.210501128,4.230872774,4.360888764,4.289218464,4.255691745,4.131263983,4.691381018,4.287169517,4.268482538,4.436626112,4.318842842,4.298444271,4.121504918,4.24222916,4.168582537,4.208521141,4.146396646,4.381321795,4.293526671,4.16911268,4.322828816,4.233473692,4.202221685
Actr3,4.76369693,4.919786045,5.248512319,4.777444871,4.898299413,5.42154284,4.976134129,4.793105527,4.785106261,4.926404016,5.020515148,5.120125607,4.824172486,4.7837069,4.840181204,4.898384793,4.623728391,5.277945337,4.942736654,5.356206807,4.935116222,4.869558778,4.873793928,4.91884961,5.047732768,4.802104353,5.146664711,4.840298041,4.986624064,4.74580824,4.718919684,5.048102782,4.859595475,4.911675265,5.190271829,4.614364905,4.794043425,4.986769674,4.954041031,4.743848435,4.687714105,4.861134158,4.950517308,4.97311181,5.187347994,4.923880291,4.81530836,5.041926689,4.886316832,5.041873078,5.005027942,5.005027942,5.015729429,4.910063475,4.719866383,5.187572482,5.010695241,4.648432973,4.966413554,4.982506651,5.006251634,4.985028435,4.880068853,4.749787153,4.890341273,4.548381334,4.766288411,5.015159696,4.94594803,4.859725724,5.072047627,5.046997521,4.924114883,5.240414109,5.005297254,4.627615554,5.180679084,4.890335901,4.873513224,5.008169157,4.886550914,5.133918802,4.977555212,4.904982339,5.159629547
Nucks1,1.893687474,1.525593289,0.879745104,1.316721537,1.587069155,1.070733458,0.848443945,1.732232389,1.342063875,1.27519587,1.425457116,0.63201999,1.162361064,2.055196642,1.756376948,1.492781464,1.588527904,0.83357849,1.233555773,0.980848918,1.343344397,1.885416916,1.464791112,1.034667657,1.484593624,1.775299566,1.08047032,1.668453282,1.245395358,1.930946822,2.138366415,1.132684122,1.418476926,1.428228596,1.001974387,1.624284865,1.578911674,1.616342479,1.623869901,1.68581266,1.791184327,1.252346323,0.728294284,1.586395261,0.898906194,0.682608364,1.386258653,0.421817209,1.330519259,0.421798639,1.352738534,1.352738534,0.819599902,1.417240666,1.570309844,0.820576218,0.946843437,1.209041457,1.099316064,0.919496891,1.678162515,0.798357622,1.513394927,1.269977003,0.991348714,1.494240036,2.111238691,1.413962001,0.951536487,1.09273367,1.000071309,0.949679371,1.841138815,0.525456617,1.391849967,1.449118413,0.47466881,1.153402037,1.49434712,1.422398206,1.660900705,0.865753351,1.365575652,1.795715524,0.892074027
Nucks1,0.088579809,0.070193005,0.342011238,0.278364901,0.128447164,0.093988608,0.127948834,0.122819404,0.030123042,0.333953875,0.057101787,0.092952931,0.042549239,0.04350906,0.199592437,0.472119687,0.388420526,0.0610406,0.222029439,0.165232289,0.248867604,0.239612914,0.075433861,0.074760177,0.039263962,0.207367299,0.156822813,0.086361553,0,0.084749488,0.103851595,0.136498291,0.112314599,0.128422169,0.067614838,0.093304811,0.136717662,0.097650334,0.581371518,0.053159718,0.223111437,0.514490484,0.188233279,0.251986013,0.039542332,0.060089607,0.072770079,0.069424292,0.04534675,0.069420673,0.025987276,0.025987276,0.247673738,0.243735196,0.024784412,0.037154408,0.065644013,0.073624539,0.090839651,0.136864116,0.059155793,0.065237194,0.166957016,0.289736974,0.461176476,0.222540753,0.131549027,0.046153464,0.05235356,0.531515348,0.247079198,0.281877464,0.079818048,0.029212277,0.124637537,0.2526469,0.351584762,0.55435842,0.03611596,0.054533867,0.087887208,0,0.058316829,0.048394008,0.158022852
Nucks1,2.004990037,2.536245943,1.686078141,1.46043445,1.664781207,1.481177052,1.297704872,0,0.959494978,0.552579113,1.180455705,0.35842906,1.900284634,1.271361367,1.356397877,1.581797703,1.427465278,0.910365472,1.615298799,1.244926083,1.361919074,1.389604476,2.228031036,1.003467725,1.362767984,1.832396025,1.273185933,1.846404568,1.548139123,2.231667932,1.909590414,1.041625562,1.185276646,1.881771338,1.284910634,0.772517258,1.429480807,1.915392294,1.238695302,1.715917536,1.761414168,1.570333964,1.405557122,1.42244352,1.027572875,0.936233328,1.913926743,0.424995894,1.693091601,0.424977212,0,0,1.020521506,0.96437652,1.72851068,1.743733636,1.338753716,1.461103155,1.866099277,1.631323982,1.314714966,0.933415514,1.451959943,1.582237954,0,1.458334711,0,0,0.819559849,0.941813227,0.777538912,0.817089721,1.69183659,1.666124357,0,1.59322989,0.606053327,1.49824811,0,0,1.68941734,1.31290479,1.718023193,1.67941248,0.46395875
Rabif,5.353695831,5.697089729,5.991322075,4.831104267,5.506801254,5.981126809,5.370462622,5.343016735,5.136464273,5.19339099,5.583126607,5.501979001,5.147357657,5.322492011,5.433383643,5.405855285,5.379574818,5.607063109,5.359486795,5.659683569,5.198234863,4.939691245,5.732886671,5.890644352,5.440989178,5.334577574,5.532826355,5.32699245,5.522105454,5.478746841,5.362055562,5.609152847,5.221654927,5.67673073,5.614897262,4.444778115,5.547807181,5.431851405,5.737115957,5.637329937,5.319464617,5.660862193,5.93351726,5.707164469,5.590903761,5.673941831,5.575502248,5.970695925,5.716981155,5.970642103,5.909983739,5.909983739,5.852237386,5.566340948,5.679209485,5.572512395,5.662541997,5.446349299,5.590447113,5.808822727,5.483976978,5.507573284,5.654446699,5.183846026,5.411110164,5.048899322,5.689280545,6.112598808,4.880238199,5.533068416,5.547506505,5.14314258,5.766065236,6.004363842,5.438159963,5.62519284,5.402546878,5.566706614,5.51565938,5.11065263,5.651250108,6.078476977,5.566011334,5.580339557,5.458624199
Kdm5b,0.750860579,0.749531281,1.224025905,1.698965213,1.614731068,0.949641959,1.21950451,2.009483068,1.698734907,2.784298645,1.226224109,1.177416058,1.233713997,0.949275743,0.701051508,1.418421124,1.450379228,0.48363307,1.80389171,1.772102191,1.489659428,2.781269669,0.664840747,0.682479166,0.506577288,0.640511671,1.24100177,0.781937887,0.960898941,0.627173033,0.696732614,1.263291797,2.321456733,0.806269713,0.501915137,2.061688398,0.906694083,1.945549293,1.771029402,0.87734516,1.260306489,0.926790235,1.007988757,1.058620531,1.101838133,0.813482031,0.855267196,0.780239423,0.492031158,0.780210194,0.69904639,0.69904639,0.741543278,0.731808481,1.084658302,1.607390121,1.866530485,0.736163292,0.547530833,0.278391233,0.550249693,0.993566307,0.884414384,1.53862809,1.806415438,1.31839487,0.81110786,0.270485395,0.517317575,1.118407297,1.148184786,1.597178656,0.507107362,1.146883197,0.82356527,0.787873339,1.196176637,1.178088891,0.888265022,0.977649199,0.601869625,0.773121176,0.882374302,0.565745373,0.352308101
Kdm5b,0.941163477,0,1.627628647,0,0,0,0,0.700761906,0,0,0,0.929787612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609439796,0,0,0,0,1.297810837,0,0,0,0,1.23507914,0,0,0,0,0,0,1.610103095,0,0,0,0,1.338712872,1.196683623,1.33867306,0,0,0,1.278584696,0,0,0,0,0,1.475953844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.174030632,0,0.941364981,0,0,0,0,0,1.300213299,0,0
Arl8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084202725,0.22528071,0.043398476,0.118260764,0,0,0,0,0,0.074722386,0,0,0,0,0,0,0,0,0,0,0,0.110746435,0,0.066061643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049503142,0.061144908,0,0,0,0,0,0,0,0,0,0.149056351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081939036
Arl8a,3.832480979,3.667127314,3.208140015,3.588103847,3.72734339,3.479661846,3.556005675,3.721108623,3.673220195,3.805199603,3.746251555,3.181144366,3.365728019,3.707364836,3.972485581,3.747970517,3.835018335,3.419917334,3.843109149,3.449263067,3.768572627,3.70020541,3.659500178,3.288592132,3.389417074,3.642517579,3.430091214,3.821758748,3.423238992,3.724339638,3.719934343,3.485856338,3.581492423,3.808585196,3.580069287,3.913855698,3.717309376,3.819686574,3.727774889,3.372334478,3.773278358,3.803341861,3.459386323,3.778665447,3.564221699,3.573660236,3.791856841,3.379392966,3.73311209,3.379340845,3.588677287,3.588677287,3.537635557,3.674863877,3.729641536,3.391368144,3.667689933,3.858312897,3.769337547,3.729019717,3.822739055,3.65864305,3.787898925,3.697212085,3.489806001,3.685501598,3.850526388,3.605422945,3.44304917,3.706914253,3.488425422,3.405618296,3.704545099,3.296583433,3.322041361,3.86553703,2.537421489,3.570060034,3.77780337,3.797486033,3.841973824,3.194671456,3.75899609,3.689844357,3.437392933
Nav1,3.878742925,3.48009395,3.538608525,3.518120996,3.429932057,3.766014777,3.92103874,3.861799256,3.774715789,3.852240093,3.695431122,3.677799806,4.376699344,3.837698376,3.732675019,3.842908935,3.770168071,3.928390242,3.87310411,3.626336966,3.715734493,3.701935303,3.884433258,3.772340269,3.977788564,3.656277563,3.912902694,3.708621538,3.996411162,4.231768534,3.654959372,4.188526045,3.744823879,3.696259847,3.626079328,4.166871998,3.620568297,3.561108583,3.913307886,3.821430106,3.669888917,3.885431503,3.9808747,3.68289243,3.618059186,3.771382833,3.769580086,4.142693395,3.933292989,4.142640292,4.061109312,4.061109312,4.192302518,3.916187293,3.926994814,3.78943682,3.642345928,3.829428345,4.100184228,3.556063974,3.881750267,3.946227692,4.21136436,3.68219856,3.685793123,3.683924035,3.489217422,3.533295266,3.626095045,3.726914278,3.706807722,3.802458385,3.677787061,3.734864169,3.806618203,3.726512715,3.694101134,3.81751949,3.696055852,4.169092804,3.6176654,3.968362809,3.54160081,3.838522456,3.781047636
Nav1,0,0,0.489431886,1.437195847,1.130069309,0,0,0,0,0,0,0.263582028,0,0,0,0.86285223,0,0,0,0,0,0,0,0.3985891,0.810429342,0,0,0,1.199504439,0,0,0,0,0,0,0,0,0,0.447434147,0,0.954953329,0.557474408,1.14799455,0,1.008689596,1.017781436,0,0,0,0,0,0,0.913705682,0,0,0,1.132835715,0,0.461611906,0.514787047,1.769958249,0,1.35668004,0,0.746326349,0,1.082035584,0,0,1.757813827,1.134633195,0,1.400276434,0,0,0,0,1.354187753,0,0,1.212434011,0.822438279,1.026430976,0,0
Nav1,1.456683433,1.824961143,2.495719898,2.598471503,3.251896716,3.883072258,4.417310014,2.785088329,3.335288704,2.71769307,1.917282287,3.049538589,3.162678857,2.183124041,2.035022146,2.824490175,2.297244645,3.402281525,2.116763021,3.115683363,2.874503571,1.592126405,1.3533542,2.279528281,1.8695425,2.021629321,3.122155544,1.57761439,2.85009604,1.785477944,1.758803308,2.703373344,1.682837457,1.889216048,2.995039842,2.875769396,2.110287167,2.037904258,2.416770708,2.021815393,2.226568992,1.899241479,2.874311817,2.058375502,2.524345487,2.023909371,1.745251417,2.908349943,1.731665763,2.908298928,1.491383327,1.491383327,2.385080266,2.458318564,1.703424939,3.269238594,1.815893926,1.730034316,2.828690711,2.047078613,1.441918707,2.037071704,1.595028852,1.667139209,2.113035083,1.845481202,0.823770081,1.0404695,1.951801413,1.756527187,1.612711325,1.641647038,2.048535667,3.513718423,1.777043106,1.25420389,2.754970551,1.810723418,1.558519099,2.913458224,1.810421774,3.098039085,2.053994677,1.381851057,2.602423175
Nav1,0.163977602,0,0,0,0,0,0,0,0,0,0,0,0,0.11943125,0,0,0.060986815,0,0,0,0.461054948,0.503347577,0.375779925,0,0.526009431,0,0,0.419553971,0,0.156911879,0.120670378,0,0,0,0,0.204004617,0.35575477,0,0,0,0.283154895,0.108851714,0,0.50074888,0,0,0.134263698,0,0,0,0.140977041,0.140977041,0,0,0.13400535,0,0.177691554,0,0,0,0.160502076,0,0,0,0,0.224586337,0.206925056,0,0.143649072,0,0,0,0,0,0.141967611,0.486234625,0,0,0.599856912,0,0,0,0,0,0
Nav1,0.064059326,0.144657173,0,0.128342583,0.056978468,0,0.056551447,0.045347916,0.063561234,0.131955957,0,0,0,0.090776255,0.090000433,0,0.133294673,0,0.101150928,0.061885807,0.198254737,0.326627472,0.35048056,0.079941392,0.415173996,0.053345934,0.070309278,0,0,0.061141571,0.08979403,0,0.061802842,0.070651387,0,0.118317451,0.455718204,0,0,0,0,0.042158154,0,0.115142673,0,0.064010729,0,0,0,0,0.054834381,0.054834381,0.082227753,0.224846637,0.149296661,0,0.254560161,0.052989723,0,0,0.122175361,0.253574008,0.153659901,0.043915404,0,0.060680078,0.262780175,0.049147635,0.108767981,0,0,0.138888344,0,0,0.107395869,0.209924435,0,0,0.438969466,0,0.14562315,0.083917628,0.175648667,0.034637378,0
Nav1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036145992,0,0.079657719,0,0.081738091,0,0,0,0,0,0,0,0.143214028,0,0,0,0.094954426,0,0,0.122748516,0,0,0,0.08700084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082551836,0,0,0.047524248,0.052323698,0,0,0,0,0,0.066906004,0,0.084606363,0,0,0.090819363,0,0,0,0,0,0,0
Nav1,0,0,0,0.09267253,0.154022756,0,0.401886811,0,0,0,0,0.366727474,0,0,0,0,0.06503256,0,0,0,0,0.437839575,0,0,0.217942682,0.144783777,0,0,0,0.486603771,0.125624313,0,0,0,0.277348321,0.305284108,0.3701685,0,0,0,0.08170815,0,0,0,0.311928437,0,0,0,0,0,0.076946826,0.076946826,0.217672213,0.213732982,0.265626824,0,0.187002005,0.143683956,0,0,0.088145592,0,0,0.120000968,0,0,0,0.405213625,0,0,0,0.068116843,0,0,0,0,0,0,0,0,0,0,0,0.29971719,0.329353908
Gm4793,4.198871378,4.2359083,4.407994607,4.323732997,4.456314663,4.574448166,4.758286914,4.390943945,4.535515402,4.534558611,4.241834666,4.634481478,4.237668453,4.167757282,4.429802218,4.481033077,4.392505391,4.764069063,4.244551404,4.275904021,4.377745258,4.295832409,4.201265265,4.680271103,4.181289394,4.268014503,4.530876274,4.232372663,4.541223915,4.282353958,4.288293929,4.41131138,4.229757448,4.382830596,4.63635019,4.631745647,4.178764374,4.393465393,4.48450169,4.508118436,4.277992578,3.958947833,4.222365197,4.246427827,4.03379187,4.154375329,4.012619617,4.596120207,4.240082276,4.596066792,3.944145142,3.944145142,4.315802052,4.012587655,4.142609249,4.403474718,4.158675667,4.070236769,4.322455954,4.374793974,3.887187074,4.389214126,3.979064199,4.187292138,4.236384655,4.183833888,3.991101382,4.076548454,4.620088512,4.211766435,4.560632339,4.311788591,4.020646236,4.331862243,4.277725993,3.818436055,4.262304997,4.154040841,4.104697732,4.285884697,4.016306722,4.506654848,3.897220265,4.258850091,4.787717834
Kif21b,0.030496969,0.070277026,0.097132691,0.062230742,0,0,0,0,0.030212494,0,0,0,0,0,0,0,0.022126644,0.061218493,0,0.058153726,0.143546301,0.044129538,0,0,0,0,0,0,0,0,0.02165926,0,0,0,0,0.057069995,0,0,0,0,0.02741111,0.039624064,0,0,0,0,0.024894013,0,0,0,0,0,0,0,0.024875788,0,0,0,0.031219712,0.036005288,0,0.126709649,0.050642183,0.02079676,0.022422691,0.0430371,0.019935349,0,0.026551356,0,0,0.110029586,0,0,0,0.013594841,0,0,0,0.018527645,0,0,0.086461222,0,0.158241797
Kif21b,1.182116535,0.948247682,2.366997305,2.294960662,0.450384507,2.075899388,1.768026918,1.21106575,0.592903768,1.482140336,1.500388178,1.568269008,3.105904707,1.921407513,1.669973567,2.112132246,1.044138045,2.100027702,1.062282987,1.35762814,1.973553241,2.071232663,2.660087165,2.06195555,2.903205442,2.281402973,3.3610752,1.897040902,2.945034485,3.037429567,1.626983585,3.472418725,2.733401465,0.263439907,0.344045016,1.486191647,1.063980117,0.182886537,2.817548874,2.052977927,2.343367306,0.783066157,2.116884061,0.846200404,0.426628265,1.526310794,1.742045848,2.650879345,1.143993534,2.650829194,2.21674582,2.21674582,3.12925985,2.260611806,1.913933702,2.121412735,2.182522306,1.828022667,2.637367468,2.292445803,1.651254796,1.669677248,2.062990596,1.143147715,1.703962111,1.899924239,0.235263809,2.786203258,1.635369756,1.591768781,1.575639955,2.179948392,1.302777199,2.926127833,2.925224714,2.014014591,2.775133147,2.509140258,0.778228783,2.5186634,1.29448624,2.630566483,1.424115943,1.949749169,2.302978668
Kif21b,0.461735318,0.447170882,0,0.235233455,0.313675306,0.065743068,0.226161897,0.386750826,0.14702417,0.066101008,0.354897553,0.140918671,0,0.606337362,0.417694484,0.206763428,0.267065406,0,0.397969491,0,0.296648318,0.130835692,0.150051773,0,0.153498631,0.523370189,0.100126408,0.75409666,0.090879299,0.311644811,0.600124744,0.114242342,0.115948657,0.32911473,0,0.039636769,0.096440118,0.328423127,0.468670553,0.270056035,0.274386977,0.303621939,0.035057666,0.188286184,0.040871363,0.120498708,0.271807157,0.10570679,0.591308817,0.105701377,0.362069267,0.362069267,0,0.312151457,0.231177278,0,0.131283363,0.294192645,0.032220777,0.107564415,0.364928873,0.034280272,0.338109968,0.281797195,0.067887623,0.450127381,0.239246904,0.115188115,0.223196453,0.216135173,0,0.134642577,0.34791598,0.030240878,0.46554524,0.329861821,0,0.137365686,0.265601481,0.074402786,0.462987049,0,0.424214222,0.31912427,0
Kif21b,5.197395163,5.150690968,5.092617384,5.049311417,5.195437309,5.161455964,5.011567086,5.225494602,5.161741927,5.415541709,5.377174999,5.185293169,5.159461833,5.238004013,5.2612703,5.417471149,5.124650492,5.12003103,5.41849588,5.332175874,5.244079039,5.378782296,4.980592815,4.943678095,4.855760345,4.979236708,5.031027895,4.937151412,4.962935607,5.073413034,5.137203888,5.017073028,4.946405173,5.248964565,5.180572289,5.135660188,5.226392827,5.300310457,5.15338144,5.152639827,5.311918991,5.41663636,5.315214579,5.356679066,5.273423724,5.291948219,5.319874817,5.263686044,5.430185492,5.263632363,5.524312206,5.524312206,5.205558383,5.0801606,5.334415496,5.281171539,5.421107465,5.321151694,5.281453063,5.204724879,5.170788493,5.236600916,5.3702126,5.22675074,5.24903288,5.201664934,5.225107482,5.163116498,5.193287041,5.214013177,5.246288296,5.113221583,5.410525292,5.203281966,5.049809929,5.276529642,4.931208606,5.187063645,5.285358782,5.218377922,5.231233137,5.304834021,5.412828031,5.27125194,5.287189282
Kif21b,5.951313771,5.990212341,6.231532085,6.083980014,5.960759096,6.18471952,6.09705175,6.117204874,6.100086034,6.207428765,6.365775205,6.355658251,6.243062608,6.052706184,6.234728296,6.221933249,6.03061316,6.326920986,6.270843413,6.338178882,6.301963022,6.359064812,5.956045668,6.333962221,6.066934986,5.934928252,6.868236555,5.957789426,6.26370384,6.150781639,5.860462325,6.185334862,6.132412704,6.204028513,6.437128775,6.423014027,6.189985039,6.067159764,6.221145341,6.212313651,6.461750263,6.202715862,6.277109798,6.414294871,6.414668151,6.285271102,6.186779635,6.549940736,6.233986005,6.549886853,6.396890106,6.396890106,6.371646618,6.138212926,6.1006314,6.34370661,6.415636748,6.263792284,6.307027532,6.229876622,6.100929793,6.285714079,6.318468678,6.180593937,6.43811527,6.195335508,6.088508204,6.23242738,6.408420901,6.341349148,6.300030473,6.435589342,6.255180901,6.594298221,6.615331946,6.024186158,6.203071859,6.236775402,6.107017574,6.438272546,6.056019274,6.435653341,6.14217412,6.04902877,6.346515586
Kif21b,3.550748629,3.939762722,4.053732491,3.500336229,0,4.185177036,3.872493,0,4.036101518,4.027037352,3.313003309,3.92920065,3.674857211,3.141861873,3.222934144,4.123085169,3.652522615,4.229716433,3.549472862,3.79690657,3.552390473,0,3.553337772,4.494701418,4.315671954,0,3.806808461,3.742526724,4.262514094,3.739358674,0,4.169518435,3.607207851,3.605167431,4.143308315,0,3.574526858,3.17742832,3.515738921,3.357779139,3.16803091,3.559801698,4.122703947,3.612062544,3.781127806,3.555581293,2.961775704,4.200287138,3.577487636,4.200233987,3.068382362,3.068382362,3.883907498,3.287810965,4.013746892,4.102072714,3.411603082,3.428432051,3.850107831,3.636053403,3.190303129,3.447932537,3.532171653,3.619282509,3.610366213,0,3.227004781,3.990206316,4.31616671,3.459158445,3.939385699,3.665092714,3.464312012,4.498203475,4.500877881,0,4.337929857,3.889677506,0,3.589017257,3.559731242,3.858152032,3.357891667,4.067016025,4.301050248
Kif21b,4.751387169,4.602074241,4.2926109,4.824743402,4.659491178,4.459167464,4.345622337,4.909509,4.766008384,4.759434721,4.772508358,4.332977515,4.651527318,4.825644339,4.85835524,4.660561189,4.780367578,4.328410756,4.752926054,4.631867538,4.81687662,4.748495704,4.708014576,4.246109347,4.373010747,4.756842658,4.788676585,4.659907292,4.539995971,4.674219334,4.710165197,4.515247823,4.575188852,4.817087955,4.51209076,5.075020638,4.865917252,4.890713876,4.860696662,4.782088413,4.934504774,4.762614695,4.247364794,4.737672751,4.322644669,4.451322827,4.662105602,4.30847823,4.500338149,4.308424996,4.331701904,4.331701904,4.240651636,4.495893597,4.562443962,4.467871659,4.602064385,4.635149126,4.511528047,4.162878104,4.592188531,4.676213535,4.73647801,4.668228478,4.835962203,5.103696243,4.688840298,4.311091092,4.514734846,4.685831228,4.584769403,4.648689215,4.590245372,4.281598123,4.294989373,5.023711561,3.86247748,4.599144151,5.016452565,4.89880274,4.760209305,4.378098431,4.690471711,4.661880961,4.220909703
Kif21b,0.389557222,0.610144963,0.231901473,0.454131405,0,0.224959111,0.246067815,0,0.387140329,0.106835349,0.373211522,0,0,0.413831958,0,0,0.432232029,0,0.369538686,0,0.233389303,0.381090334,0,0,0.269061607,0,0.300135926,0.769282152,0.304017368,0.374307129,0,0.264464773,0,0.62037974,0,0.095785022,0.061127856,0,0.37770541,0,0.453797001,0,0.163083365,0,0,0.076280971,0.12119364,0.088058001,0.112413589,0.088053453,0.184695309,0.184695309,0,0.183610821,0.572194041,0,0.083357048,0.063253682,0.34020252,0.089374481,0.576187942,0,0,0,0.298485602,0,0,0.50937975,0.129147085,0,0,0,0,0,0.29273672,0,0,0.136607661,0,0,0,0,0.729193457,0,0
Kif21b,0.207732033,0.240954027,0,0,0.478623043,0.216877735,0,0,0,0,0,0,0,0,0.594471133,0,0.634751108,0,0.170364571,0,0,0,0.554906049,0,0,0.932136868,0,0.372196645,0,0.198996843,1.10534822,0,0,0,0,0,0,0,0,0,0.193793754,0,0,0.608525516,0,0,0,0,0,0,0,0,0,0,0.169830806,0,0,0.173698401,0,0,0,0,0.174989514,0.272574328,0.154537517,0,0.368490983,0,0.182322797,0,0,0,0,0,0,0.535538794,0,0,0,0,0,0,0,0.114442614,0
Kif21b,5.071324731,5.198714112,2.09146089,4.22854888,5.037645502,3.326114298,3.306751764,4.614054072,3.144937492,3.568618848,4.999111899,1.766564455,1.054997602,4.948978401,5.440640657,4.312399113,5.129937199,1.094475524,4.486988351,0.863586059,3.449307364,3.45701941,5.120110405,2.112680317,4.374138652,5.019727478,1.660825066,5.280008118,1.174473175,4.714502575,5.129702429,1.602337502,4.985797081,5.013931959,1.941244484,3.759229937,3.907312528,5.13403822,4.901475784,4.824468503,4.89648526,4.81302258,2.064705087,4.690960785,1.351499344,3.04294472,5.194511834,1.90756277,4.698894807,1.907516821,4.466053476,4.466053476,1.412637447,4.172103958,4.709688263,1.243219259,3.760504193,5.075445358,2.310841343,4.584520157,5.19940389,3.692083728,4.196955376,4.766543025,2.917601352,4.571132114,5.177592983,4.634988691,4.427412014,4.487166551,1.224402252,3.280812437,4.730953377,1.604344594,4.13581323,5.334406395,0.95800551,3.76592897,5.069667092,1.715458362,5.109603284,1.207113646,5.129940394,4.664556652,1.082439538
Kif21b,4.856203332,4.85601795,4.846818023,4.444718653,4.814087362,5.377405602,4.626019219,4.515490029,4.693081085,4.41934259,4.994364907,4.493423737,4.599216242,4.926360052,4.934178488,4.896480427,4.856379144,5.295296284,4.775948692,4.868581342,4.625254297,4.601011084,5.001077349,5.319840707,5.154022052,4.883738561,5.506106213,5.054788654,5.595112438,4.808716088,5.048205152,5.519266057,4.685996967,5.403050917,5.295884009,4.345390154,4.947048971,5.576944378,5.318433983,4.826564531,5.039633899,4.68818552,5.204050865,5.018008759,4.719487021,4.690942639,4.322672283,4.986921522,5.069939507,4.986867931,4.504555871,4.504555871,4.793319,4.680011952,4.673640166,4.4620236,4.855707092,4.455246116,4.486203709,5.048322124,4.788145465,4.823163524,4.499917473,4.587896148,5.270506172,4.440106355,4.987581699,5.524604252,4.922647295,4.624471976,4.612692454,4.308521529,5.304699999,5.824610402,5.073889648,4.50148407,3.648922427,4.730267615,4.751663984,5.552113231,4.682185492,5.106513429,5.049667402,5.181457561,4.71498157
